COPY pytania FROM STDIN DELIMITER ';' NULL 'null';
49;eum placeat numquam minus soluta doloribus enim laudantium temporibus magni quidem ea tempora harum molestiae quos illum dicta veniam delectus rem exercitationem hic illo esse ut voluptatem velit nobis distinctio odio itaque perspiciatis ab quasi voluptates reprehenderit corrupti accusantium laborum consequatur aut qui expedita aspernatur cumque;doloremque;10
50;veniam sunt id fugiat illum veritatis magnam non quia iste a perferendis dignissimos adipisci tenetur qui fugit at est numquam facilis sequi quidem inventore ipsa aliquam architecto molestias harum perspiciatis error tempore doloremque corrupti sint debitis ut dolorem alias eaque;explicabo;2
51;laboriosam dignissimos error maxime consequuntur recusandae perferendis dicta et iste assumenda quam fugiat ipsa neque unde repellat pariatur dolore ratione asperiores enim ab eos veritatis ad quos exercitationem dolorum quia quis laborum non ipsam odit eaque at eius ullam perspiciatis rerum molestias provident natus eligendi quod vero tenetur;asperiores;6
52;possimus ducimus dignissimos rerum doloremque soluta culpa voluptas illo consequatur mollitia in qui saepe molestiae corrupti velit nisi vero ullam natus amet magnam aliquam voluptate eos assumenda consectetur tempora officia aspernatur veritatis nemo vitae sed modi officiis commodi sunt distinctio nihil architecto blanditiis perferendis quidem neque vel a;voluptatum;3
53;ullam laudantium obcaecati pariatur ipsum maxime magni suscipit porro sint enim quae mollitia aliquam id aspernatur blanditiis laborum nam repudiandae culpa quas ab quos delectus neque animi dignissimos minima voluptates possimus quod quibusdam illum nisi;corrupti;8
54;at nesciunt tempora quidem natus eum minus alias eveniet repudiandae fugit maiores qui reiciendis deserunt ex atque dignissimos assumenda iste voluptate enim quisquam voluptates soluta vitae error dolorem possimus id ut nemo blanditiis mollitia repellat fugiat quo impedit architecto nostrum voluptatem sint;labore;2
55;doloremque possimus impedit fuga laboriosam hic architecto maiores veniam sequi officia inventore facere maxime facilis aspernatur mollitia reprehenderit repellendus itaque accusantium qui sed quasi ut molestias neque rem nulla eligendi aliquam sapiente modi placeat alias consequuntur sunt magnam tenetur nobis;eum;1
56;explicabo hic excepturi autem blanditiis reiciendis officia omnis fugit culpa enim impedit totam voluptates illum praesentium voluptatem sed facere inventore perspiciatis aperiam optio libero ducimus expedita error odit amet beatae pariatur quaerat voluptas corporis;molestiae;7
57;velit obcaecati provident fugiat non veniam ipsam pariatur repudiandae iure soluta dolor dignissimos quisquam veritatis nemo incidunt exercitationem ipsa temporibus quasi esse tempore laboriosam maiores animi cupiditate officia odit recusandae autem adipisci molestias nesciunt cum quas possimus eaque reiciendis explicabo unde aliquam iste minus;exercitationem;9
58;doloremque odio dolore alias ullam ipsum voluptas quis dolores explicabo rerum nesciunt iusto asperiores assumenda incidunt saepe aliquam sunt reiciendis deleniti veritatis omnis facere eos mollitia doloribus autem facilis veniam corporis officia voluptatem molestiae architecto enim est provident eveniet modi blanditiis accusamus laboriosam quos rem unde id quam quia;necessitatibus;8
59;voluptate labore id similique repudiandae officiis laudantium minima excepturi facere accusantium eos quidem repellendus ut beatae veritatis exercitationem at quod error dolores voluptatibus eligendi maiores hic fuga tempora tenetur voluptatem natus dolorem;animi;7
60;neque consequatur delectus corrupti voluptate dicta deserunt veniam corporis vitae ab blanditiis ipsum recusandae dignissimos odit asperiores voluptas exercitationem esse quaerat ipsa ad suscipit temporibus nihil atque reiciendis quia perferendis eos nulla maiores eum id maxime ut porro est magni repellendus in assumenda amet explicabo adipisci totam eligendi magnam voluptatem;animi;3
61;libero commodi soluta illum velit quam voluptas sunt natus eius minima magnam earum voluptatem deleniti perferendis fugit nobis blanditiis quis quasi saepe aut iusto nihil enim totam dicta architecto veniam rem minus;reiciendis;4
62;veritatis sequi minus eaque perferendis recusandae quo maiores repudiandae beatae quidem eos laboriosam possimus quia dolores architecto non ad optio pariatur magni at laudantium velit a voluptatibus omnis asperiores officia accusamus atque nulla suscipit veniam dolorum laborum blanditiis cumque aspernatur nemo repellendus iste excepturi eligendi vel ea temporibus eum;illo;1
63;quasi eos sapiente tempore magnam nesciunt nulla voluptates incidunt perspiciatis adipisci labore nostrum obcaecati non corrupti deleniti odio aliquid fuga ducimus voluptatem at tempora harum consequuntur pariatur quidem quibusdam accusantium suscipit ex commodi aperiam modi fugiat dignissimos necessitatibus cupiditate placeat possimus dolorem;veniam;10
64;incidunt rem perferendis dolorem id temporibus vitae error voluptatum nemo ratione rerum et debitis illum possimus eaque aliquid accusantium amet dolores molestiae officia laudantium vel autem deserunt magni quidem reprehenderit in non explicabo vero placeat odio porro quasi ex obcaecati repudiandae asperiores;error;2
65;architecto dignissimos ipsam perferendis id magnam enim quidem ipsum ab fugit pariatur commodi neque blanditiis repudiandae cupiditate dolorem voluptates maxime nemo quae nam cumque rem sit odio vitae rerum ipsa sint adipisci facere modi quo maiores quis dolor possimus consectetur iste accusamus dolores eius qui;ea;5
66;dolorum officiis vel nemo eligendi iusto deleniti ipsa veniam consequatur ad rem voluptatibus non dolores excepturi beatae reprehenderit fuga cumque tempore aperiam mollitia totam neque similique enim quo officia voluptatem fugit;earum;3
67;quae suscipit maiores explicabo dolore impedit ratione placeat illo minima porro consequuntur maxime tenetur modi perferendis atque ad quo pariatur aspernatur molestiae delectus deleniti sed a quis aut itaque incidunt assumenda commodi ex earum;perferendis;5
68;ut tempora porro ratione reprehenderit minus illum atque perferendis nostrum beatae velit animi sequi a repellat modi commodi excepturi delectus assumenda qui ipsam eum iure totam eveniet corporis debitis minima corrupti libero doloremque quidem harum accusamus similique labore officia quaerat aspernatur amet odit tempore maxime;consectetur;2
69;quas nihil sit sint odio minima voluptates quia repellendus molestiae possimus ipsum cupiditate molestias error saepe blanditiis minus nemo aperiam iure itaque dignissimos modi unde placeat doloremque ipsam quidem fugiat dicta quos quasi voluptatem deleniti autem sequi rerum tenetur corrupti consequuntur enim;unde;2
70;molestiae nisi asperiores obcaecati aspernatur velit nesciunt maxime eligendi maiores illo et perspiciatis iusto optio quidem eaque magni quo fugiat atque mollitia sunt explicabo laudantium animi distinctio possimus repellendus beatae amet eveniet est accusamus laborum delectus incidunt voluptatibus sapiente doloribus ipsa consequuntur consequatur voluptate facilis;suscipit;5
71;consequatur in quidem possimus debitis facere odit sit accusantium expedita vel porro sunt voluptatem alias ducimus labore dicta eius nisi eveniet quam culpa ipsam enim illum minus quibusdam cupiditate tenetur;culpa;9
72;architecto velit harum quisquam praesentium aspernatur dolore in at unde sequi cum asperiores nobis ab adipisci iusto optio quas tenetur quia possimus consequuntur facilis eius laboriosam excepturi sit incidunt quaerat ratione repudiandae dignissimos commodi maxime sint eligendi eveniet voluptatum sunt quos laudantium neque nostrum soluta error porro minus;asperiores;9
73;provident nisi error inventore nihil modi assumenda velit doloremque alias itaque nulla sapiente quidem odit debitis ex officiis mollitia quam corrupti voluptatem voluptate earum qui minima odio neque iusto ipsam non dolores;possimus;1
74;quos accusamus velit iste adipisci nulla esse fugiat cumque inventore provident quisquam ducimus architecto alias repellendus earum pariatur blanditiis illo incidunt enim officiis neque facilis aperiam tempora a consequatur recusandae voluptate at sed rem ad quaerat nisi iusto laudantium maxime;facere;7
75;hic fugiat voluptatum dolor quis ut laborum laudantium minus atque facere soluta saepe iste voluptatem amet culpa odit sapiente ipsa facilis reprehenderit alias a non asperiores qui omnis ratione consectetur doloremque officia placeat;deleniti;1
76;corrupti ducimus ut veritatis voluptatibus aliquid laudantium nulla esse vel dolorem perspiciatis enim ullam blanditiis minus optio debitis quaerat maiores quisquam iste accusamus quasi a et animi dolores quo quibusdam autem minima laborum explicabo eos;iure;2
77;maiores odit deserunt commodi id est obcaecati in optio nam fuga ullam sapiente enim quibusdam animi culpa veritatis molestiae et voluptates autem neque quo rerum nesciunt magni ratione minima veniam fugit temporibus tempora quae dolorem similique alias repellat aliquid at illo quisquam eos accusamus voluptate natus non facere quasi;voluptas;7
78;similique architecto quam consectetur vel dolorum vitae sed fugiat natus quod amet et perferendis eaque nemo ut commodi in nihil dolores nam harum incidunt dolor eos odit totam id aliquam deserunt;repellat;2
79;enim earum ullam atque odio reprehenderit explicabo ducimus accusantium iure quidem ratione ab labore expedita culpa officia eum vitae autem eos maxime quia saepe consectetur voluptas sit cupiditate deserunt in;dolorem;3
80;eligendi qui cum quidem quia corrupti eaque exercitationem velit mollitia natus esse doloribus facilis odio est quisquam fugit dolorum quam nesciunt nam minima in numquam eum asperiores magnam maxime suscipit sed blanditiis nemo voluptatem obcaecati dignissimos ipsam temporibus dolorem rerum aspernatur;enim;0
81;ut molestias explicabo nostrum odit obcaecati perferendis culpa veritatis dignissimos ratione doloremque sapiente pariatur adipisci consequatur laudantium fugiat eius ipsa ab perspiciatis sequi excepturi recusandae delectus doloribus similique provident quo esse facilis quisquam;vero;3
82;incidunt quis quia eligendi laborum placeat adipisci quam et molestiae sapiente nostrum vitae voluptatem perferendis impedit saepe magni id eaque nihil sed beatae excepturi veritatis ut officia qui doloremque dolore totam neque quod reiciendis explicabo in eum illo fugit recusandae esse ipsam perspiciatis corrupti distinctio atque dignissimos aperiam sunt obcaecati;aliquam;5
83;praesentium natus facere possimus distinctio quia error similique neque eos architecto rerum dignissimos quae unde deleniti sit consequatur sapiente libero qui quas odit dolorem consequuntur dolorum in dolore provident cupiditate velit doloremque magnam odio repellat;rerum;10
84;enim ipsam explicabo deserunt vel sapiente a magni voluptatum consequatur cumque temporibus nesciunt est ut sit voluptas esse inventore tenetur rem praesentium excepturi expedita maxime ipsa dicta earum voluptate ab accusamus;esse;8
85;repellendus enim numquam blanditiis aut animi itaque dolore soluta et autem vel iusto incidunt fugiat eaque veniam tenetur ex optio minima quos vitae obcaecati sunt pariatur doloremque eveniet aliquid eligendi voluptas laudantium quod nam perspiciatis ratione reprehenderit culpa totam;sequi;5
86;placeat vitae architecto veniam asperiores non libero ea quis similique harum perferendis fugit cupiditate nemo illo consequatur nostrum repellendus atque voluptatem voluptatibus ipsum commodi ex dolores culpa doloremque animi expedita perspiciatis quibusdam sequi eum quo eveniet quidem unde a;aut;5
87;molestias excepturi repellat facere quisquam nostrum iusto quibusdam dolor corrupti error rerum fugiat exercitationem odio numquam consequatur vel magnam quaerat earum culpa amet vero porro ratione inventore odit consequuntur laborum alias quidem minus sapiente aut;explicabo;7
88;possimus perspiciatis impedit alias harum dicta quaerat nisi quidem architecto quisquam in sint natus minus deserunt nam cumque doloribus aut repellendus esse dignissimos quod quasi ullam illum dolorem necessitatibus magni aliquid ducimus magnam beatae quis iste ad amet temporibus quo ipsam aspernatur error laboriosam sed excepturi dolores;omnis;0
89;dolor magni at unde deserunt eveniet voluptas impedit eaque aperiam eligendi totam nostrum provident quidem facilis sunt ea itaque quasi quae architecto odit reprehenderit ipsam illum nobis adipisci sint voluptatem beatae magnam accusantium nam illo consequatur aut nihil quos fugiat nemo veritatis doloremque velit alias autem;esse;1
90;impedit magni in eos voluptates aspernatur obcaecati ex dolor laboriosam ipsa deserunt quasi minus cumque modi officia optio numquam eveniet quisquam necessitatibus earum dolores possimus ab inventore maxime culpa officiis cum et sed dignissimos;tempore;3
91;labore fugiat eaque rerum optio autem exercitationem nemo perspiciatis tenetur temporibus iste saepe et in voluptatem nobis cupiditate voluptatum molestiae minima officiis aperiam assumenda voluptatibus numquam atque adipisci non est porro aut quidem eligendi;quo;4
92;quam autem odit dolorem ipsam placeat doloribus animi maxime vero cumque eius molestias numquam officiis rem laborum perspiciatis dolor error hic modi soluta cupiditate dolorum amet adipisci dolore distinctio debitis commodi dolores magni;mollitia;0
93;mollitia iusto totam modi nulla nam provident ratione alias non voluptatum sed facere dolorem doloribus vitae reiciendis esse corporis molestiae laboriosam necessitatibus ea asperiores praesentium error sunt corrupti amet eligendi at deserunt accusamus fugiat quod quidem tempora officia illo natus quisquam quia cupiditate ipsam odit voluptas commodi nostrum;beatae;0
94;cum fugit dicta animi recusandae incidunt pariatur suscipit numquam minus placeat deleniti ipsam soluta libero doloribus tenetur id ea tempore accusantium veniam consectetur eum optio velit maiores natus voluptas unde minima quia cumque doloremque non corrupti voluptate;quo;2
95;fuga pariatur a veritatis molestias minus dignissimos mollitia rem repellat numquam voluptatibus saepe laboriosam magni aliquid tempora quam totam vitae dicta non excepturi perspiciatis ad laudantium explicabo blanditiis dolorem aut eum velit debitis;harum;8
96;unde possimus quo tempore quam natus a iste repellat illum neque fugit corrupti quisquam eveniet minus tenetur assumenda magnam sed maiores itaque fuga eaque recusandae consequuntur molestiae est consequatur earum enim eius necessitatibus sit;iusto;6
97;repellendus cupiditate magni eos sed totam sit ab porro officiis recusandae facere quae dolores aliquam quo eum laboriosam corporis voluptatem aut culpa autem suscipit in similique nemo modi illo dolor sint doloremque deserunt voluptatibus distinctio quisquam ducimus adipisci fugit quod corrupti ipsam magnam nostrum;consequatur;2
98;quasi alias dolorem ducimus molestias magni vero ipsa saepe illo corrupti odio dignissimos dolore hic deleniti excepturi nesciunt expedita voluptate odit id autem iusto ipsum mollitia laboriosam nam libero quidem voluptatem sequi veniam ratione voluptatibus debitis tempore quaerat maxime et accusantium;porro;8
99;cumque eaque quo in ratione doloribus veniam et accusantium delectus sed deleniti provident labore quibusdam quam eveniet fugit minima officiis voluptate tempore saepe doloremque vitae consequatur error officia odit nesciunt quisquam nihil vero iure;error;3
100;laudantium ea aut laboriosam maxime assumenda placeat minus vitae nemo totam neque ducimus eaque doloribus expedita adipisci dolore illo odio in quasi repudiandae consequuntur nobis doloremque odit sit dolor quae quos excepturi veritatis nisi vel quidem facilis provident velit tempora delectus dicta saepe eligendi molestias minima nihil;quasi;2
101;itaque fugit voluptatibus dicta sunt nobis reprehenderit suscipit numquam consequuntur quasi quod error excepturi fuga saepe est dolorem officiis natus perspiciatis maiores ex animi voluptate at officia minus molestias veniam ipsum nostrum facere optio sapiente quas temporibus nihil sit totam;alias;7
102;in at ex nesciunt ratione voluptatem est nisi esse voluptatum expedita hic aut placeat architecto quia optio neque nam delectus quos aperiam incidunt consectetur molestias veniam debitis facere minima necessitatibus itaque quidem repellat iure quasi ipsa;architecto;1
103;praesentium repellendus dolorum inventore quasi deleniti quaerat libero minus natus ex tempore quam at esse eveniet adipisci alias iusto asperiores rerum quibusdam dicta et expedita quisquam earum necessitatibus animi tenetur illum vero accusamus officiis sunt nam assumenda veniam ipsam dolorem voluptates delectus maxime;quidem;10
104;voluptatibus error quaerat nesciunt ducimus dolores praesentium explicabo magni suscipit quas cumque fugit sapiente excepturi architecto distinctio aperiam minus corrupti dolore porro ipsum repellat reprehenderit tenetur repellendus eum commodi voluptates ipsa inventore pariatur voluptatem eos omnis accusantium facere vero rerum quia quasi sed;doloremque;3
105;harum recusandae ad ipsa consequatur veritatis voluptates nulla porro laboriosam iste quidem eaque vero accusamus rem fugit debitis eligendi nesciunt totam cumque ut ducimus incidunt delectus et facilis eos nihil omnis ab sapiente iusto tempora magni saepe;mollitia;8
106;fugiat voluptatum quae quis pariatur veritatis temporibus nemo impedit at reiciendis cupiditate vero sit consequatur obcaecati sequi voluptates aspernatur asperiores ex voluptas quod laboriosam deleniti voluptate officia dolore corrupti accusamus dolor molestiae ullam iure hic facilis autem odit ipsa debitis delectus ea iusto sed;dolores;7
107;blanditiis aliquam fugit ullam porro perferendis totam earum cupiditate fugiat consequatur ea nulla quas libero sit ipsum minima sequi quia nesciunt hic nisi neque amet debitis iste distinctio magni atque dolorem nemo quasi similique laudantium expedita odit doloremque at vitae vero laboriosam beatae voluptate quis quibusdam aperiam harum;soluta;9
108;nesciunt ea molestiae eligendi odio veritatis nobis accusamus alias ut aperiam repellat repudiandae at labore qui quidem quae similique voluptatem deleniti beatae rerum corrupti voluptas obcaecati facilis praesentium quia ab maxime pariatur repellendus perspiciatis suscipit eveniet nisi quibusdam minus;similique;6
109;perferendis fugit debitis incidunt cupiditate suscipit eligendi nisi deleniti ut saepe enim blanditiis quisquam aspernatur explicabo veritatis accusantium vitae molestias voluptate placeat doloremque earum quis sit cum voluptatum eum dignissimos repellendus consequatur;facere;4
110;minus aliquam suscipit voluptatum dicta omnis aspernatur aperiam repudiandae debitis cupiditate provident velit voluptatibus odit quae possimus laborum atque saepe architecto alias corrupti sint pariatur esse delectus consequuntur modi exercitationem impedit expedita culpa voluptates dolorem sed perferendis quis libero amet doloremque dolore eveniet itaque tempora quidem optio;eius;7
111;facere libero at assumenda blanditiis aliquam reprehenderit sed totam consequuntur quam iste nulla nam numquam sunt eos neque quaerat nisi quas sequi nostrum ab non harum commodi suscipit ex molestiae ad laborum dolorum magnam praesentium id delectus similique animi dolor quidem deleniti fuga quae eum culpa impedit asperiores voluptatum beatae;quos;0
112;placeat incidunt esse consequatur et autem at distinctio odit optio nihil minus harum delectus officia sequi reprehenderit molestiae atque nulla ab impedit error a praesentium iure blanditiis molestias ipsum quas reiciendis voluptatum ex libero soluta magni voluptatibus perferendis itaque quidem;placeat;6
113;saepe laudantium numquam ut quia in neque quis temporibus incidunt voluptatibus amet assumenda minus sint asperiores quisquam delectus iste magnam libero laborum rerum labore perferendis adipisci recusandae illum dolorum nisi explicabo reiciendis a voluptatem expedita maxime pariatur aliquam enim aperiam ipsum consequuntur;quam;6
114;sint porro harum reprehenderit accusantium rerum odit repellat sit similique ipsa numquam maxime enim quia eligendi repudiandae facere minima debitis exercitationem est ea reiciendis ipsam quos sequi magnam nobis saepe perspiciatis eum iste molestias;minima;10
115;labore distinctio accusantium vitae aspernatur repudiandae velit minima quisquam expedita laborum unde placeat cumque non totam odio pariatur alias quas molestias ipsa magni nisi voluptate eos nam repellendus sunt necessitatibus amet enim ratione aliquid consequuntur animi;quis;7
116;inventore illum animi eligendi dolore minima quos velit eius exercitationem aut adipisci dignissimos ab veniam consectetur et est error hic ipsam doloribus nulla nesciunt assumenda placeat impedit dolorem tenetur vel magni esse molestiae consequuntur fugit quisquam sint tempora quidem cumque;exercitationem;1
