COPY sklady_w_zespolach FROM STDIN DELIMITER ';' NULL 'null';
61;41;2;1
119;41;2;1
387;41;2;1
436;41;2;1
1149;41;2;1
98;29;2;0
404;29;2;1
698;29;2;1
559;29;2;1
872;29;2;1
1111;29;2;1
417;26;2;0
467;26;2;1
547;26;2;1
813;26;2;1
798;26;2;1
771;26;2;1
875;30;2;0
764;30;2;1
663;30;2;1
736;30;2;1
647;30;2;1
560;30;2;1
380;30;2;2
648;30;2;3
1072;30;2;3
689;25;3;0
722;25;3;1
971;25;3;1
939;25;3;1
427;25;3;1
942;25;3;1
508;34;3;0
128;34;3;1
580;34;3;1
897;34;3;1
753;34;3;1
764;34;3;1
1087;34;3;3
539;41;3;0
1100;41;3;1
789;41;3;1
589;41;3;1
413;41;3;1
891;41;3;1
746;41;3;2
77;41;3;3
562;20;3;0
565;20;3;1
612;20;3;1
57;20;3;1
817;20;3;1
923;20;3;1
1082;20;3;2
875;20;3;3
775;4;3;0
675;4;3;1
560;4;3;1
599;4;3;1
991;4;3;1
738;4;3;1
338;4;3;2
237;4;3;3
358;4;3;3
515;15;3;0
1000;15;3;1
729;15;3;1
967;15;3;1
76;15;3;1
678;15;3;1
283;15;3;2
177;15;3;3
1097;11;3;0
1086;11;3;1
1132;11;3;1
149;11;3;1
436;11;3;1
698;11;3;1
1131;11;3;3
422;6;3;0
217;6;3;1
430;6;3;1
707;6;3;1
378;6;3;1
426;6;3;1
527;30;3;0
121;30;3;1
1072;30;3;1
306;30;3;1
137;30;3;1
138;30;3;1
1161;30;3;3
453;30;3;3
435;16;3;0
809;16;3;1
794;16;3;1
280;16;3;1
647;16;3;1
1021;16;3;1
271;16;3;3
244;16;3;3
260;38;3;0
489;38;3;1
1142;38;3;1
538;38;3;1
155;38;3;1
828;38;3;1
1079;40;3;0
966;40;3;1
785;40;3;1
98;40;3;1
199;40;3;1
369;40;3;1
1069;40;3;2
405;32;3;0
1071;32;3;1
682;32;3;1
997;32;3;1
594;32;3;1
1102;32;3;1
274;32;3;2
758;32;3;3
867;29;3;0
322;29;3;1
1113;29;3;1
471;29;3;1
439;29;3;1
167;29;3;1
636;29;3;2
1061;30;4;0
491;30;4;1
813;30;4;1
143;30;4;1
278;30;4;1
558;30;4;1
739;30;4;3
967;44;4;0
952;44;4;1
1052;44;4;1
599;44;4;1
223;44;4;1
444;44;4;1
1004;44;4;3
495;44;4;3
1047;7;4;0
220;7;4;1
742;7;4;1
283;7;4;1
937;7;4;1
534;7;4;1
772;15;4;0
326;15;4;1
194;15;4;1
681;15;4;1
86;15;4;1
180;15;4;1
499;15;4;2
707;15;4;3
1144;11;4;0
873;11;4;1
891;11;4;1
1027;11;4;1
514;11;4;1
301;11;4;1
654;11;4;2
921;16;4;0
166;16;4;1
171;16;4;1
985;16;4;1
352;16;4;1
1111;16;4;1
980;25;4;0
353;25;4;1
87;25;4;1
259;25;4;1
1075;25;4;1
172;25;4;1
335;25;4;2
313;14;4;0
392;14;4;1
780;14;4;1
789;14;4;1
729;14;4;1
829;14;4;1
588;14;4;2
446;34;4;0
543;34;4;1
399;34;4;1
1050;34;4;1
716;34;4;1
396;34;4;1
116;34;4;2
1125;34;4;3
1143;49;4;0
147;49;4;1
482;49;4;1
833;49;4;1
745;49;4;1
280;49;4;1
570;49;4;3
214;32;5;0
1036;32;5;1
603;32;5;1
1159;32;5;1
1020;32;5;1
49;32;5;1
256;32;5;2
760;32;5;3
489;22;5;0
926;22;5;1
784;22;5;1
133;22;5;1
147;22;5;1
912;22;5;1
122;22;5;3
30;4;5;0
704;4;5;1
177;4;5;1
47;4;5;1
683;4;5;1
362;4;5;1
1002;4;5;2
863;15;5;0
120;15;5;1
975;15;5;1
224;15;5;1
928;15;5;1
735;15;5;1
947;15;5;3
522;44;5;0
945;44;5;1
405;44;5;1
629;44;5;1
513;44;5;1
583;44;5;1
1018;44;5;2
1042;44;5;3
523;41;5;0
506;41;5;1
534;41;5;1
566;41;5;1
25;41;5;1
1113;41;5;1
1156;26;6;0
923;26;6;1
126;26;6;1
1072;26;6;1
40;26;6;1
1087;26;6;1
283;30;6;0
334;30;6;1
525;30;6;1
1136;30;6;1
434;30;6;1
1000;30;6;1
817;30;6;3
1128;25;6;0
559;25;6;1
1142;25;6;1
539;25;6;1
258;25;6;1
394;25;6;1
968;25;6;2
338;25;6;3
238;34;6;0
495;34;6;1
964;34;6;1
435;34;6;1
1003;34;6;1
897;34;6;1
520;34;6;2
132;15;6;0
987;15;6;1
563;15;6;1
228;15;6;1
35;15;6;1
1042;15;6;1
806;15;6;2
1071;15;6;3
773;6;6;0
399;6;6;1
698;6;6;1
1113;6;6;1
169;6;6;1
905;6;6;1
867;41;6;0
516;41;6;1
896;41;6;1
454;41;6;1
110;41;6;1
237;41;6;1
615;41;6;3
452;41;6;3
1097;7;6;0
319;7;6;1
306;7;6;1
213;7;6;1
131;7;6;1
142;7;6;1
574;16;6;0
427;16;6;1
825;16;6;1
1161;16;6;1
840;16;6;1
494;16;6;1
45;16;6;3
752;16;6;3
386;4;6;0
722;4;6;1
1111;4;6;1
1058;4;6;1
414;4;6;1
28;4;6;1
843;38;6;0
957;38;6;1
323;38;6;1
733;38;6;1
890;38;6;1
245;38;6;1
143;38;6;2
608;38;6;3
937;40;6;0
891;40;6;1
282;40;6;1
517;40;6;1
71;40;6;1
658;40;6;1
532;40;6;3
387;40;6;3
264;29;6;0
461;29;6;1
765;29;6;1
255;29;6;1
287;29;6;1
874;29;6;1
474;20;6;0
939;20;6;1
271;20;6;1
903;20;6;1
514;20;6;1
128;20;6;1
358;20;6;2
970;20;6;3
975;20;6;3
121;32;6;0
538;32;6;1
87;32;6;1
1074;32;6;1
203;32;6;1
969;32;6;1
603;32;6;2
380;32;6;3
771;32;6;3
617;11;6;0
1137;11;6;1
1141;11;6;1
673;11;6;1
1050;11;6;1
1089;11;6;1
1076;11;6;2
570;11;6;3
799;11;6;3
442;17;7;0
755;17;7;1
603;17;7;1
439;17;7;1
259;17;7;1
102;17;7;1
910;17;7;3
210;14;7;0
535;14;7;1
162;14;7;1
569;14;7;1
663;14;7;1
257;14;7;1
187;14;7;2
295;14;7;3
991;4;7;0
861;4;7;1
1103;4;7;1
1081;4;7;1
818;4;7;1
833;4;7;1
860;0;7;0
1131;0;7;1
785;0;7;1
444;0;7;1
825;0;7;1
604;0;7;1
272;0;7;2
570;0;7;3
1000;26;7;0
225;26;7;1
595;26;7;1
673;26;7;1
341;26;7;1
685;26;7;1
414;26;7;2
1037;26;7;3
617;26;7;3
944;19;7;0
339;19;7;1
870;19;7;1
468;19;7;1
588;19;7;1
878;19;7;1
335;19;7;3
713;19;7;3
182;7;7;0
757;7;7;1
594;7;7;1
961;7;7;1
952;7;7;1
116;7;7;1
369;7;7;3
883;49;7;0
101;49;7;1
278;49;7;1
415;49;7;1
404;49;7;1
1035;49;7;1
511;49;7;2
304;49;7;3
65;49;7;3
705;40;7;0
119;40;7;1
467;40;7;1
314;40;7;1
573;40;7;1
1087;40;7;1
862;40;7;3
540;31;7;0
1142;31;7;1
560;31;7;1
546;31;7;1
889;31;7;1
1119;31;7;1
418;31;7;2
425;27;7;0
739;27;7;1
181;27;7;1
891;27;7;1
1072;27;7;1
509;27;7;1
240;27;7;2
533;30;7;0
169;30;7;1
383;30;7;1
121;30;7;1
132;30;7;1
252;30;7;1
426;30;7;3
34;30;7;3
103;29;7;0
501;29;7;1
49;29;7;1
248;29;7;1
1082;29;7;1
1162;29;7;1
1096;29;7;2
271;16;7;0
985;16;7;1
1003;16;7;1
752;16;7;1
615;16;7;1
789;16;7;1
326;16;7;2
707;25;7;0
214;25;7;1
175;25;7;1
538;25;7;1
1128;25;7;1
966;25;7;1
693;25;7;2
637;25;7;3
332;25;7;3
866;22;7;0
993;22;7;1
61;22;7;1
607;22;7;1
111;22;7;1
826;22;7;1
399;22;7;2
436;22;7;3
890;22;7;3
745;43;7;0
470;43;7;1
171;43;7;1
859;43;7;1
1026;43;7;1
358;43;7;1
837;43;7;2
11;43;7;3
840;34;7;0
71;34;7;1
543;34;7;1
743;34;7;1
484;34;7;1
38;34;7;1
40;14;8;0
792;14;8;1
359;14;8;1
514;14;8;1
164;14;8;1
71;14;8;1
774;14;8;2
698;14;8;3
700;40;8;0
1143;40;8;1
971;40;8;1
894;40;8;1
736;40;8;1
143;40;8;1
511;34;8;0
861;34;8;1
383;34;8;1
233;34;8;1
304;34;8;1
301;34;8;1
578;34;8;2
814;34;8;3
969;34;8;3
339;39;8;0
944;39;8;1
80;39;8;1
472;39;8;1
615;39;8;1
152;39;8;1
1097;39;8;3
275;0;8;0
481;0;8;1
1021;0;8;1
735;0;8;1
425;0;8;1
225;0;8;1
808;0;8;3
352;22;8;0
142;22;8;1
400;22;8;1
1004;22;8;1
842;22;8;1
338;22;8;1
885;22;8;3
478;22;8;3
467;32;8;0
696;32;8;1
431;32;8;1
961;32;8;1
76;32;8;1
471;32;8;1
942;32;8;3
1074;49;8;0
417;49;8;1
463;49;8;1
743;49;8;1
726;49;8;1
556;49;8;1
66;49;8;2
985;49;8;3
834;29;8;0
167;29;8;1
938;29;8;1
552;29;8;1
508;29;8;1
550;29;8;1
515;29;8;3
812;20;8;0
658;20;8;1
362;20;8;1
857;20;8;1
294;20;8;1
525;20;8;1
656;20;8;2
61;20;8;3
286;17;8;0
133;17;8;1
756;17;8;1
993;17;8;1
1138;17;8;1
1111;17;8;1
287;51;8;0
1114;51;8;1
1051;51;8;1
775;51;8;1
560;51;8;1
825;51;8;1
688;51;8;3
617;51;8;3
228;9;8;0
762;9;8;1
1123;9;8;1
1150;9;8;1
73;9;8;1
707;9;8;1
970;16;8;0
916;16;8;1
948;16;8;1
856;16;8;1
369;16;8;1
746;16;8;1
958;16;8;2
461;16;8;3
1121;25;8;0
557;25;8;1
728;25;8;1
453;25;8;1
657;25;8;1
898;25;8;1
198;25;8;3
1120;25;8;3
676;12;8;0
460;12;8;1
516;12;8;1
136;12;8;1
122;12;8;1
764;12;8;1
663;36;9;0
554;36;9;1
120;36;9;1
936;36;9;1
30;36;9;1
291;36;9;1
932;11;9;0
695;11;9;1
923;11;9;1
134;11;9;1
1061;11;9;1
165;11;9;1
952;11;9;2
15;11;9;3
841;12;9;0
1062;12;9;1
396;12;9;1
194;12;9;1
196;12;9;1
9;12;9;1
715;46;9;0
98;46;9;1
1154;46;9;1
314;46;9;1
351;46;9;1
875;46;9;1
210;46;9;2
340;46;9;3
162;44;9;0
155;44;9;1
912;44;9;1
759;44;9;1
213;44;9;1
520;44;9;1
1083;44;9;3
338;44;9;3
192;22;9;0
378;22;9;1
115;22;9;1
795;22;9;1
543;22;9;1
354;22;9;1
472;22;9;3
590;22;9;3
510;0;9;0
588;0;9;1
495;0;9;1
717;0;9;1
806;0;9;1
974;0;9;1
826;0;9;3
107;0;9;3
713;49;9;0
873;49;9;1
198;49;9;1
834;49;9;1
373;49;9;1
545;49;9;1
895;49;9;2
930;49;9;3
500;49;9;3
624;32;9;0
304;32;9;1
1041;32;9;1
1073;32;9;1
53;32;9;1
60;32;9;1
130;32;9;2
164;32;9;3
561;32;9;3
522;39;9;0
238;39;9;1
111;39;9;1
904;39;9;1
348;39;9;1
987;39;9;1
259;6;9;0
425;6;9;1
945;6;9;1
381;6;9;1
71;6;9;1
938;6;9;1
76;19;9;0
507;19;9;1
377;19;9;1
407;19;9;1
458;19;9;1
47;19;9;1
856;19;9;2
697;19;9;3
971;14;9;0
860;14;9;1
899;14;9;1
206;14;9;1
177;14;9;1
676;14;9;1
985;14;9;3
861;14;9;3
549;40;9;0
731;40;9;1
476;40;9;1
146;40;9;1
323;40;9;1
832;40;9;1
298;40;9;2
113;40;9;3
1071;40;9;3
632;28;9;0
736;28;9;1
990;28;9;1
369;28;9;1
929;28;9;1
944;28;9;1
1144;28;9;3
41;16;9;0
416;16;9;1
540;16;9;1
275;16;9;1
876;16;9;1
560;16;9;1
138;16;9;2
969;16;9;3
1137;16;9;3
384;17;9;0
973;17;9;1
814;17;9;1
854;17;9;1
704;17;9;1
760;17;9;1
486;8;9;0
722;8;9;1
126;8;9;1
122;8;9;1
539;8;9;1
1;8;9;1
182;8;9;2
1151;13;9;0
394;13;9;1
538;13;9;1
302;13;9;1
673;13;9;1
325;13;9;1
1082;13;9;2
879;13;9;3
240;9;9;0
320;9;9;1
461;9;9;1
1024;9;9;1
980;9;9;1
1037;9;9;1
1158;9;9;3
1135;9;9;3
742;0;10;0
466;0;10;1
820;0;10;1
601;0;10;1
1140;0;10;1
1052;0;10;1
514;0;10;3
902;0;10;3
950;7;10;0
142;7;10;1
985;7;10;1
1002;7;10;1
532;7;10;1
44;7;10;1
145;7;10;3
867;44;10;0
574;44;10;1
583;44;10;1
301;44;10;1
640;44;10;1
954;44;10;1
101;44;10;3
429;2;10;0
56;2;10;1
958;2;10;1
914;2;10;1
747;2;10;1
1160;2;10;1
1098;28;10;0
141;28;10;1
497;28;10;1
550;28;10;1
181;28;10;1
373;28;10;1
402;28;10;3
213;28;10;3
1041;39;10;0
1161;39;10;1
1096;39;10;1
752;39;10;1
702;39;10;1
833;39;10;1
1068;39;10;2
1048;40;10;0
406;40;10;1
126;40;10;1
453;40;10;1
745;40;10;1
1138;40;10;1
1142;26;10;0
66;26;10;1
870;26;10;1
77;26;10;1
648;26;10;1
988;26;10;1
474;26;10;3
700;32;10;0
748;32;10;1
324;32;10;1
1087;32;10;1
65;32;10;1
588;32;10;1
1018;31;10;0
353;31;10;1
785;31;10;1
918;31;10;1
773;31;10;1
61;31;10;1
729;46;10;0
30;46;10;1
606;46;10;1
515;46;10;1
520;46;10;1
961;46;10;1
109;46;10;2
283;46;10;3
946;46;10;3
599;22;10;0
527;22;10;1
305;22;10;1
1085;22;10;1
811;22;10;1
1118;22;10;1
374;22;10;2
728;22;10;3
143;19;10;0
734;19;10;1
911;19;10;1
1146;19;10;1
973;19;10;1
909;19;10;1
660;19;10;3
137;6;10;0
840;6;10;1
89;6;10;1
893;6;10;1
229;6;10;1
148;6;10;1
707;6;10;2
87;6;10;3
39;6;10;3
1141;8;10;0
451;8;10;1
765;8;10;1
62;8;10;1
387;8;10;1
1055;8;10;1
506;8;10;2
1020;8;10;3
1077;8;10;3
574;38;11;0
217;38;11;1
923;38;11;1
161;38;11;1
1069;38;11;1
595;38;11;1
615;38;11;2
421;7;11;0
101;7;11;1
300;7;11;1
491;7;11;1
985;7;11;1
559;7;11;1
566;7;11;3
439;26;11;0
698;26;11;1
1142;26;11;1
1141;26;11;1
899;26;11;1
405;26;11;1
213;15;11;0
557;15;11;1
553;15;11;1
968;15;11;1
189;15;11;1
701;15;11;1
707;15;11;2
417;30;11;0
265;30;11;1
622;30;11;1
573;30;11;1
232;30;11;1
870;30;11;1
872;30;11;3
45;25;11;0
868;25;11;1
413;25;11;1
921;25;11;1
121;25;11;1
1125;25;11;1
119;25;11;3
380;6;11;0
72;6;11;1
540;6;11;1
915;6;11;1
440;6;11;1
554;6;11;1
383;6;11;3
799;6;11;3
1139;29;12;0
1162;29;12;1
396;29;12;1
1081;29;12;1
475;29;12;1
115;29;12;1
54;29;12;3
680;29;12;3
677;44;12;0
425;44;12;1
1097;44;12;1
79;44;12;1
444;44;12;1
1136;44;12;1
400;44;12;2
238;44;12;3
191;4;12;0
762;4;12;1
919;4;12;1
996;4;12;1
547;4;12;1
967;4;12;1
1059;4;12;2
559;4;12;3
345;1;12;0
391;1;12;1
107;1;12;1
128;1;12;1
642;1;12;1
279;1;12;1
20;1;12;2
1028;1;12;3
603;1;12;3
1084;43;12;0
219;43;12;1
695;43;12;1
994;43;12;1
1141;43;12;1
664;43;12;1
714;43;12;3
885;43;12;3
761;28;12;0
476;28;12;1
401;28;12;1
824;28;12;1
1144;28;12;1
1032;28;12;1
322;28;12;3
658;22;12;0
218;22;12;1
886;22;12;1
753;22;12;1
589;22;12;1
874;22;12;1
943;22;12;2
686;22;12;3
140;9;12;0
8;9;12;1
220;9;12;1
911;9;12;1
145;9;12;1
85;9;12;1
1107;9;12;2
433;9;12;3
1120;9;12;3
891;12;12;0
352;12;12;1
900;12;12;1
888;12;12;1
972;12;12;1
719;12;12;1
244;12;12;2
196;12;12;3
288;12;12;3
228;50;12;0
1159;50;12;1
831;50;12;1
951;50;12;1
1020;50;12;1
895;50;12;1
381;50;12;3
731;30;12;0
127;30;12;1
929;30;12;1
137;30;12;1
504;30;12;1
723;30;12;1
223;35;12;0
1088;35;12;1
289;35;12;1
224;35;12;1
354;35;12;1
1147;35;12;1
339;35;12;2
82;13;12;0
172;13;12;1
781;13;12;1
371;13;12;1
804;13;12;1
387;13;12;1
285;13;12;3
227;13;12;3
200;8;12;0
46;8;12;1
617;8;12;1
543;8;12;1
403;8;12;1
232;8;12;1
270;8;12;2
311;20;13;0
64;20;13;1
520;20;13;1
536;20;13;1
69;20;13;1
144;20;13;1
390;20;13;3
1070;20;13;3
790;25;13;0
423;25;13;1
1076;25;13;1
1021;25;13;1
236;25;13;1
400;25;13;1
575;34;13;0
426;34;13;1
701;34;13;1
76;34;13;1
534;34;13;1
560;34;13;1
562;34;13;2
698;34;13;3
1027;34;13;3
707;16;13;0
1139;16;13;1
846;16;13;1
1039;16;13;1
759;16;13;1
474;16;13;1
434;16;13;2
47;16;13;3
463;6;13;0
968;6;13;1
334;6;13;1
618;6;13;1
57;6;13;1
1074;6;13;1
120;6;13;2
177;6;13;3
210;26;13;0
387;26;13;1
196;26;13;1
482;26;13;1
589;26;13;1
278;26;13;1
1017;26;13;3
1128;11;13;0
740;11;13;1
190;11;13;1
245;11;13;1
733;11;13;1
126;11;13;1
1080;29;13;0
753;29;13;1
809;29;13;1
161;29;13;1
1111;29;13;1
599;29;13;1
801;38;13;0
648;38;13;1
264;38;13;1
837;38;13;1
142;38;13;1
761;38;13;1
40;38;13;2
430;38;13;3
321;40;13;0
604;40;13;1
394;40;13;1
260;40;13;1
61;40;13;1
319;40;13;1
538;40;13;2
1006;40;13;3
110;40;13;3
829;4;13;0
1158;4;13;1
358;4;13;1
478;4;13;1
323;4;13;1
170;4;13;1
890;4;13;2
1047;44;13;0
810;44;13;1
783;44;13;1
573;44;13;1
68;44;13;1
688;44;13;1
1029;44;13;3
826;30;13;0
28;30;13;1
1004;30;13;1
878;30;13;1
318;30;13;1
515;30;13;1
851;30;13;2
742;30;13;3
414;15;13;0
101;15;13;1
1150;15;13;1
881;15;13;1
746;15;13;1
405;15;13;1
213;15;13;2
842;15;13;3
71;15;13;3
682;41;13;0
752;41;13;1
1011;41;13;1
873;41;13;1
941;41;13;1
56;41;13;1
1086;41;13;2
780;41;13;3
578;41;13;3
132;32;13;0
629;32;13;1
79;32;13;1
794;32;13;1
802;32;13;1
293;32;13;1
936;32;13;3
194;32;13;3
875;31;14;0
14;31;14;1
61;31;14;1
606;31;14;1
103;31;14;1
256;31;14;1
1094;31;14;2
255;7;14;0
673;7;14;1
46;7;14;1
544;7;14;1
770;7;14;1
322;7;14;1
1107;7;14;2
116;7;14;3
287;40;14;0
814;40;14;1
742;40;14;1
224;40;14;1
484;40;14;1
530;40;14;1
57;12;14;0
982;12;14;1
249;12;14;1
461;12;14;1
1060;12;14;1
424;12;14;1
293;12;14;2
587;12;14;3
834;42;14;0
699;42;14;1
880;42;14;1
451;42;14;1
1026;42;14;1
336;42;14;1
119;42;14;2
352;42;14;3
98;42;14;3
1045;48;14;0
1050;48;14;1
53;48;14;1
1057;48;14;1
975;48;14;1
911;48;14;1
660;48;14;2
722;48;14;3
607;14;14;0
642;14;14;1
460;14;14;1
433;14;14;1
869;14;14;1
393;14;14;1
1079;13;14;0
1075;13;14;1
553;13;14;1
589;13;14;1
808;13;14;1
492;13;14;1
1102;13;14;3
283;13;14;3
957;4;14;0
796;4;14;1
802;4;14;1
948;4;14;1
80;4;14;1
120;4;14;1
661;4;14;3
1077;32;15;0
650;32;15;1
227;32;15;1
1061;32;15;1
696;32;15;1
536;32;15;1
947;32;15;2
939;32;15;3
249;32;15;3
606;5;15;0
946;5;15;1
600;5;15;1
546;5;15;1
427;5;15;1
376;5;15;1
463;5;15;2
730;5;15;3
119;14;15;0
533;14;15;1
1087;14;15;1
256;14;15;1
954;14;15;1
771;14;15;1
527;14;15;3
882;8;15;0
193;8;15;1
431;8;15;1
779;8;15;1
418;8;15;1
339;8;15;1
594;8;15;2
133;17;15;0
742;17;15;1
772;17;15;1
488;17;15;1
359;17;15;1
1079;17;15;1
268;17;15;3
879;17;15;3
673;16;15;0
484;16;15;1
182;16;15;1
581;16;15;1
244;16;15;1
1094;16;15;1
1112;16;15;3
729;15;15;0
335;15;15;1
444;15;15;1
948;15;15;1
153;15;15;1
1067;15;15;1
239;15;15;3
190;41;15;0
6;41;15;1
617;41;15;1
849;41;15;1
208;41;15;1
1024;41;15;1
71;41;15;2
857;4;15;0
930;4;15;1
737;4;15;1
952;4;15;1
177;4;15;1
255;4;15;1
1136;4;15;2
534;6;15;0
724;6;15;1
703;6;15;1
39;6;15;1
926;6;15;1
700;6;15;1
555;6;15;2
675;44;16;0
161;44;16;1
431;44;16;1
900;44;16;1
589;44;16;1
57;44;16;1
834;44;16;2
1154;17;16;0
326;17;16;1
516;17;16;1
1047;17;16;1
650;17;16;1
205;17;16;1
818;17;16;2
1096;17;16;3
233;27;16;0
259;27;16;1
720;27;16;1
807;27;16;1
878;27;16;1
772;27;16;1
73;38;16;0
1010;38;16;1
1020;38;16;1
636;38;16;1
824;38;16;1
895;38;16;1
728;38;16;2
141;12;16;0
1026;12;16;1
142;12;16;1
658;12;16;1
1102;12;16;1
316;12;16;1
604;12;16;2
716;12;16;3
1039;12;16;3
648;32;16;0
283;32;16;1
1163;32;16;1
434;32;16;1
939;32;16;1
499;32;16;1
1132;34;16;0
185;34;16;1
564;34;16;1
439;34;16;1
402;34;16;1
813;34;16;1
1067;34;16;3
875;30;16;0
149;30;16;1
90;30;16;1
1150;30;16;1
526;30;16;1
72;30;16;1
144;51;16;0
575;51;16;1
314;51;16;1
9;51;16;1
603;51;16;1
152;51;16;1
536;6;16;0
1045;6;16;1
843;6;16;1
605;6;16;1
948;6;16;1
910;6;16;1
620;6;16;2
588;25;16;0
701;25;16;1
669;25;16;1
681;25;16;1
330;25;16;1
457;25;16;1
678;25;16;3
77;15;16;0
525;15;16;1
117;15;16;1
406;15;16;1
608;15;16;1
60;15;16;1
682;15;16;3
897;4;16;0
1114;4;16;1
770;4;16;1
491;4;16;1
340;4;16;1
133;4;16;1
61;4;16;3
1081;4;16;3
1122;14;16;0
334;14;16;1
1141;14;16;1
32;14;16;1
761;14;16;1
432;14;16;1
476;41;16;0
992;41;16;1
177;41;16;1
989;41;16;1
415;41;16;1
436;41;16;1
36;41;16;2
429;41;16;3
116;41;16;3
694;49;16;0
652;49;16;1
59;49;16;1
734;49;16;1
790;49;16;1
968;49;16;1
732;49;16;3
170;49;16;3
304;44;17;0
406;44;17;1
629;44;17;1
423;44;17;1
264;44;17;1
122;44;17;1
1002;16;17;0
529;16;17;1
442;16;17;1
465;16;17;1
480;16;17;1
810;16;17;1
987;16;17;2
1111;16;17;3
918;16;17;3
650;17;17;0
997;17;17;1
846;17;17;1
417;17;17;1
424;17;17;1
494;17;17;1
425;17;17;2
426;26;17;0
330;26;17;1
453;26;17;1
525;26;17;1
818;26;17;1
57;26;17;1
581;30;17;0
1132;30;17;1
1128;30;17;1
895;30;17;1
414;30;17;1
1159;30;17;1
514;29;17;0
891;29;17;1
992;29;17;1
319;29;17;1
945;29;17;1
900;29;17;1
936;29;17;3
87;0;17;0
340;0;17;1
922;0;17;1
